Vertex Index (0-based) | Vertex Index (1-based) | X | Y | Z | U | V
----------------------------------------------------------------------
0 | 1 | 0.000000 | -3.406404 | 5.979507 | 0.499977 | 0.347466
1 | 2 | 0.000000 | -1.126865 | 7.475604 | 0.500026 | 0.452513
2 | 3 | 0.000000 | -2.089024 | 6.058267 | 0.499974 | 0.397628
3 | 4 | -0.463928 | 0.955357 | 6.633583 | 0.482113 | 0.528021
4 | 5 | 0.000000 | -0.463170 | 7.586580 | 0.500151 | 0.472844
5 | 6 | 0.000000 | 0.365669 | 7.242870 | 0.499910 | 0.501747
6 | 7 | 0.000000 | 2.473255 | 5.788627 | 0.499523 | 0.598938
7 | 8 | -4.253081 | 2.577646 | 3.279702 | 0.289712 | 0.619236
8 | 9 | 0.000000 | 4.019042 | 5.284764 | 0.499955 | 0.687602
9 | 10 | 0.000000 | 4.885979 | 5.385258 | 0.499987 | 0.730081
10 | 11 | 0.000000 | 8.261778 | 4.481535 | 0.500023 | 0.892950
11 | 12 | 0.000000 | -3.706811 | 5.864924 | 0.500023 | 0.333766
12 | 13 | 0.000000 | -3.918301 | 5.569430 | 0.500016 | 0.320776
13 | 14 | 0.000000 | -3.994436 | 5.219482 | 0.500023 | 0.307652
14 | 15 | 0.000000 | -4.542400 | 5.404754 | 0.499977 | 0.304722
15 | 16 | 0.000000 | -4.745577 | 5.529457 | 0.499977 | 0.294066
16 | 17 | 0.000000 | -5.019567 | 5.601448 | 0.499977 | 0.280615
17 | 18 | 0.000000 | -5.365123 | 5.535441 | 0.499977 | 0.262981
18 | 19 | 0.000000 | -6.149624 | 5.071372 | 0.499968 | 0.218629
19 | 20 | 0.000000 | -1.501095 | 7.112196 | 0.499816 | 0.437019
20 | 21 | -0.416106 | -1.466449 | 6.447657 | 0.473773 | 0.426090
21 | 22 | -7.087960 | 5.434801 | 0.099620 | 0.104907 | 0.745859
22 | 23 | -2.628639 | 2.035898 | 3.848121 | 0.365930 | 0.590424
23 | 24 | -3.198363 | 1.985815 | 3.796952 | 0.338758 | 0.586975
24 | 25 | -3.775151 | 2.039402 | 3.646194 | 0.311120 | 0.590540
25 | 26 | -4.465819 | 2.422950 | 3.155168 | 0.274658 | 0.610869
26 | 27 | -2.164289 | 2.189867 | 3.851822 | 0.393362 | 0.596294
27 | 28 | -3.208229 | 3.223926 | 4.115822 | 0.345234 | 0.655989
28 | 29 | -2.673803 | 3.205337 | 4.092203 | 0.370094 | 0.653924
29 | 30 | -3.745193 | 3.165286 | 3.972409 | 0.319322 | 0.652735
30 | 31 | -4.161018 | 3.059069 | 3.719554 | 0.297903 | 0.646409
31 | 32 | -5.062006 | 1.934418 | 2.776093 | 0.247792 | 0.589190
32 | 33 | -2.266659 | -7.425768 | 4.389812 | 0.396889 | 0.157245
